BJ1422+231
A	B	C	D	G
0.385	0	-0.336	0.948	0.742
0.000	0	0.003	0.004	0.003
0.317	0	-0.750	-0.802	-0.656
0.000	0	0.003	0.003	0.004
#F160W	14.41±0.02	14.29±0.03	14.98±0.03	18.14±0.02	17.57±0.01
#F555W	16.43±0.08	16.45±0.07	17.09±0.03	20.44±0.05	21.80±0.05
#F791W	15.88±0.01	15.85±0.01	16.41±0.01	19.68±0.04	19.66±0.06
#
#Data from Patnaik99
#Observations	A	B	C	D
#Position	RA(arcsec)	0.38925±0.00005	0.00±0.00	-0.33388±0.00005	0.95065±0.00005
#Dec(arcsec)	0.31998±0.00005	0.0±0.0	-0.74771±0.00005	-0.80215±0.00005
#fluxes	8.4GHz	152±2	164±2	81±1	5±0.5
#
#Data from Patnaik92
#Observations	A	B	C	D
#Position	RA(arcsec)	0.387±0.005	0.000±0.00	-0.332±0.005	0.939±0.005
#Dec(arcsec)	0.320±0.005	0.0±0.0	-0.750±0.005	-0.810±0.005
#fluxes	8.4GHz	216±0.75	221±0.75	115±0.75	4.5±0.75
#5GHz	148±1.2	153±1.2	79±1.2	3.9±1.2
