WFI2033-4723
A1	A2	B	C	G
-2.196	-1.482	0	-2.114	-1.438
0.003	0.003	0	0.003	0.006
1.261	1.376	0	-0.277	0.308
0.003	0.003	0	0.003	0.009
#
#F160W	17.22±0.02	17.60±0.02	17.85±0.02	17.90±0.02	17.46±0.09
#F555W	19.24±0.03	19.26±0.09	19.24±0.04	19.53±0.02	22.51±0.28
#F814W	18.15±0.05	18.65±0.13	18.63±0.14	18.82±0.03	19.69±0.03
#
#Data from Morgan04
#A1	A2	B	C	G
#-2.193	-1.477	0.000	-2.108	-1.412
#0.003	0.003	0.003	0.003	0.033
#1.258	1.368	0.000	-0.282	0.277
#0.002	0.002	0.002	0.003	0.020
#
#fluxes	i	18.68±0.01	19.14±0.01	19.32±0.01	19.41±0.01	19.71±0.01
